stop_id,stop_code,stop_name,stop_lat,stop_long
301,CTA105,La Boissière,,
302,CTA185,La Plesse,,
303,CTA2275,Langevin,,
305,CTA1516,Mairie d'Avrillé,,
307,CTA1413,Maréchal Lyautey,,
308,CTA1618,Maufinée,,
309,CTA2447,Oiseaux,,
310,CTA112,Petite Garde,,
311,CTA106,Pièce du Moulin,,
312,CTA2460,Plateau Mayenne,,
313,CTA1576,Poincaré,,
314,CTA186,Pompidou,,
315,CTA1384,Ripollet,,
317,CTA1617,Schwalbach,,
318,CTA2458,St Gilles,,
319,CTA2372,St Louis,,
320,CTA108,Ternière,,
321,CTA1648,Val d'or,,
322,CTA2236,AAMIPI,,
323,CTA1270,Beaucouzé - Haute Roche,,
324,CTA2495,Boulle,,
325,CTA1298,Bourg de Paille,,
326,CTA1324,Chanterie,,
328,CTA2496,Citronnelle,,
329,CTA1346,Claie,,
330,CTA2479,De Serres,,
331,CTA2202,Ebeaupin,,
332,CTA2497,Echats,,
333,CTA1431,Grand Pin,,
334,CTA1438,Grand Périgné,,
335,CTA1385,Grange Aux Belles,,
336,CTA1664,Guinezer,,
338,CTA1701,Hermitage,,
339,CTA1455,INRA,,
340,CTA2606,L'atoll - Beaucouze (lignes 35 Et 38),,
341,CTA2480,L'Atoll - Beaucouzé,,
342,CTA1734,L'Hoirie,,
343,CTA2498,Le Corbusier,,
344,CTA1393,Le Landreau,,
345,CTA1757,Mairie de Beaucouzé,,
346,CTA2499,Monod,,
347,CTA2122,Morel,,
348,CTA1315,Pavillon,,
349,CTA1567,Pinsons,,
350,CTA1582,Prieuré,,
351,CTA1433,Promeniers,,
352,CTA1597,Rodin,,
353,CTA1602,Rouairie,,
354,CTA1606,Route de La Meignanne,,
355,CTA1303,Thomasserie,,
356,CTA1652,Vauragère,,
357,CTA2455,ZI Beaucouzé,,
358,CTA1624,Artaud,,
359,CTA1293,Bouchemaine,,
360,CTA2274,Brunelleries,,
361,CTA1306,Camping De Bouchemaine,,
362,CTA1225,Chantourteau,,
363,CTA1230,Chataigneraie,,
364,CTA1332,Chevrière,,
365,CTA1350,Clos de la Vigne,,
366,CTA1363,Croisette,,
367,CTA1417,Gare De Bouchemaine,,
368,CTA1434,Groupe commercial,,
369,CTA2488,Harenchères,,
370,CTA1443,Hauts de Bouchemaine,,
371,CTA1485,La Pointe,,
372,CTA1305,Lac de Maine Camping,,
373,CTA1658,Les Vignes,,
374,CTA2489,Petit Anjou,,
375,CTA1563,Petit Port,,
376,CTA1570,Piverdière,,
377,CTA2478,Pont De Bouchemaine,,
378,CTA1579,Pont Laitier,,
379,CTA1584,Pruniers,,
380,CTA1711,Rangeardière,,
381,CTA1643,Val de Maine,,
382,CTA169,Basses Vallées,,
390,CTA149,Mairie De Briollay,,
393,CTA2278,Salle de Sport,,
394,CTA2239,Varennes,,
395,CTA148,Verigné,,
398,CTA1184,Croix de Sarthe,,
399,CTA2137,La Petite Lande,,
400,CTA2285,Legras,,
401,CTA1183,Marottières,,
402,CTA2286,Masson,,
403,CTA2301,Ronceray,,
404,CTA162,Arcades,,
405,CTA153,Belle Motte Sablieres,,
406,CTA157,Bellebranche,,
407,CTA1359,Cottage,,
408,CTA1377,Du Bellay,,
409,CTA1401,Eventard,,
410,CTA2435,Fief Gentil,,
411,CTA163,Gare D'Ecouflant,,
412,CTA164,Glycines,,
413,CTA152,Grimorelle,,
414,CTA1445,Hippodrome,,
415,CTA1524,IMTEC,,
416,CTA154,La Brosse Ecouflant,,
417,CTA1492,Lemercier,,
418,CTA159,Les Chaumières,,
419,CTA158,Les Rives,,
420,CTA2443,Mail des Quatre Vents,,
421,CTA1578,Pomanjou,,
422,CTA161,Pont aux Filles,,
423,CTA160,Port Launay,,
424,CTA1589,Rapidex,,
425,CTA151,Senné,,
426,CTA1644,Valéo,,
427,CTA2454,Vieille Maine,,
428,CTA2486,Ecuillé,,
429,CTA2492,Morette,,
431,CTA1176,Croix de Beauvais,,
432,CTA1180,Eglise De Feneu,,
433,CTA1181,La Fontaine,,
434,CTA1182,La Lande,,
435,CTA1178,La Sable,,
436,CTA1177,Morlières,,
437,CTA2198,Route de Champigné,,
438,CTA1179,ZA Feneu,,
439,CTA2120,Aubriais,,
